ОТДЕЛЕНИЕ;USD пок;USD прод;EUR пок;EUR прод;RUB пок;RUB прод
  Беларусбанк г. Минск, ул. Сурганова, 66  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Маяковского, 8  15:25;2.025;2.063;2.226;2.291;3.020;3.200
  Беларусбанк г. Минск, ул. Жуковского, 6 корп.2, пом.7Н  15:25;2.025;2.063;2.226;2.291;3.020;3.200
  Беларусбанк г. Минск, ул. Кижеватова, 80, корп. 1, пом. 2Н  15:25;2.025;2.063;2.226;2.291;3.020;3.200
  Беларусбанк г. Минск, ул. Корженевского, 10/1  15:17;2.025;2.063;2.226;2.291;3.020;3.200
  Беларусбанк г. Минск, ул. Асаналиева, 40Б  15:17;2.025;2.063;2.226;2.291;3.020;3.200
  Беларусбанк г. Минск, ул. Чкалова, 1 пом.7Н  15:13;2.025;2.063;2.226;2.291;3.020;3.200
  Беларусбанк г. Минск, ул. К.маркса, 8  15:25;2.030;2.060;2.230;2.288;3.050;3.190
  Беларусбанк г. Минск, ул. Кирова, 2-145  15:25;2.024;2.062;2.225;2.290;3.010;3.190
  Беларусбанк г. Минск, ул. Брестская, 77а  15:25;2.025;2.063;2.226;2.291;3.020;3.200
  Беларусбанк г. Минск, пл. Привокзальная, 5  15:22;2.024;2.062;2.225;2.290;3.010;3.190
  Беларусбанк г. Минск, пр. Независимости, 3-1, пом. 36-44  15:25;2.024;2.062;2.225;2.290;3.010;3.190
  Беларусбанк г. Минск, пр. Независимости, 3-2,пом.501  15:25;2.024;2.062;2.225;2.290;3.010;3.190
  Беларусбанк г. Минск, ул. Физкультурная, 31  15:25;2.025;2.063;2.226;2.291;3.020;3.200
  Беларусбанк г. Минск, ул. Полевая, 12  15:25;2.025;2.063;2.226;2.291;3.020;3.200
  Беларусбанк г. Минск, ул. Авроровская, 8  15:25;2.025;2.063;2.226;2.291;3.020;3.200
  Беларусбанк г. Минск, ул. Льва толстого, 4 пом.7Н  15:25;2.025;2.063;2.226;2.291;3.020;3.200
  Беларусбанк г. Минск, пр. Независимости, 91  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, пр. Независимости, 103  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Водолажского, 4  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Фогеля, 1В  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Калиновского, 55  15:22;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Толбухина, 8  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Славинского, 41  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Карбышева, 1/4  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, пр. Независимости, 155/1  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Руссиянова, 36  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Руссиянова, 9  15:13;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Высокая, 11д  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Гинтовта, 14  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, пр. Независимости, 66  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, пр. Независимости, 55  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Карбышева, 13/2  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Острошицкая, 7  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Я.коласа, 12  15:25;2.024;2.062;2.228;2.290;3.040;3.200
  Беларусбанк г. Минск, ул. Мясникова, 32  15:25;2.042;2.058;2.264;2.283;3.160;3.210
  Беларусбанк г. Минск, пр. Дзержинского, 69/1  15:25;2.028;2.060;2.230;2.290;3.020;3.200
  Беларусбанк г. Минск, ул. Куйбышева, 18  15:25;2.030;2.062;2.245;2.290;3.060;3.200
  Беларусбанк г. Минск, ул. Долгобродская, 1  15:25;2.030;2.062;2.235;2.290;3.030;3.200
  Беларусбанк г. Минск, ул. Сурганова, 47а  15:25;2.025;2.063;2.230;2.292;3.020;3.200
  Беларусбанк г. Минск, ул. Воронянского, 7а  15:25;2.030;2.060;2.230;2.288;3.050;3.190
  Беларусбанк г. Минск, пр. Независимости, 56  15:13;2.024;2.062;2.228;2.290;3.040;3.200
  Белгазпромбанк г. Минск, ул. Притыцкого 60/2  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк г.Минск, ул. Могилевская, 41  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк г. Минск, Долгиновский тракт, 186 (Дилерский центр «Ниссан»)  15:26;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк Минский район, Р-1, 9-й километр, 2-А (пересечение МКАД и трассы «Минск-Брест»)  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк г. Минск, ул. Тимирязева, 70 (Автосалон «Энергия ГмбХ»)  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк г. Минск, ул. Куприянова, 2 «А» (Автосалон «Шкода»)  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк г. Минск, пр-т газеты «Звязда», 16  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк Ждановичи, ул. Звездная, 15  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк г. Минск, пр-т Партизанский, 150А (ст. м. «Могилёвская»)  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк г. Минск, пр.Независимости, 117А (ТРЦ «Александров Пассаж»)  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк г.Минск, ул. Маяковского,15  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк г.Минск, пр-т Независимости, 44  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк г.Минск, ул. Романовская Слобода, 5  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк г.Минск, ул. Богдановича, 116  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белгазпромбанк г.Минск, пр. газеты Звязда, 16  15:25;2.036;2.063;2.257;2.283;3.142;3.192
  Белинвестбанк г. Минск, пр. Машерова, 29  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Коллекторная, 11-2  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул.В.Хоружей, 6 (Дом мебели)  15:25;2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Казинца, 6а (магазин ""Мебель,стройматериалы"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Казинца, 52а (м-н ""Евроопт"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, пр. Независимости,21 (ОАО ""Гум"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Я. Купалы 25 (Казино)  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Кирова, 13/23 (казино)  15:25;2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, пр-т Рокоссовского, 114 (м-н ""Рублевский"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, пр. Независимости, 54 (ЦУМ)  15:25;2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Плеханова, 91 (магазин ""Рублевский"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Кижеватова, 72/1 (магазин ""Рублевский"" )  15:25";2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Селицкого, 35-1 (КУП ""Экорес"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Буденного, 16а (универсам ""Тракторозаводской"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Нестерова, 58 (у-м ""Заводской"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Одинцова,69  15:25;2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Семашко, 8 (УЗ ""9-я городская клиническая больница"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Ложинская, 22-1 (ТЦ ""Дмитриев Кирмаш"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г.Минск, ул.Советская,18  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Притыцкого, 156/1-1  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г.Минск, ул. Я.Чечота,11  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Матусевича, 72  15:25;2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Жилуновича, 4 (ТЦ ""Беларусь"" 2 этаж)  15:25";2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Жилуновича, 4 (универмаг ""Беларусь"" 3 этаж)  15:25";2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Притыцкого, 93  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, пл. Свободы, 17-2  15:25;2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Жилуновича, 4 (универмаг ""Беларусь"" 2 этаж)  15:25";2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк Минский район, Новодворский с/с, 55/1  15:25;2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Бурдейного, 11 (магазин ""Евроопт"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Асаналиева, 40 (универсам ""Живинка"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, пр-т Независимости, 117/1 ( магазин ""Европейский"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Сторожевская,15 (гостиница ""Беларусь"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Папанина, 7 (МОАГРЗК)  15:25;2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, пр-т Дзержинского, 100 (ТЦ ""Кирмаш"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. К.Либкнехта, 108 (м-н ""Суперпрод"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, пр. Независимости, 164  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Гинтовта, 30  15:25;2.030;2.054;2.253;2.282;3.130;3.195
"  Белинвестбанк г. Минск, ул. Слободская, 47 (универсам ""Рублёвский"")  15:25";2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Бобруйская, 9  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, пр. Дзержинского, 3, (ГАИ)  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Мельникайте, 2  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Октябрьская, 10  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Филатова 12  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Карла Маркса, 33-4Н, 8Н (вход со стороны ул.Ленина)  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, пр. Партизанский, 6а  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, пр. Пушкина,81  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Могилевская, 5-14  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  Белинвестбанк г. Минск, ул. Коржа, 11а  15:25;2.030;2.054;2.253;2.282;3.130;3.195
  БНБ-Банк Минск, ул. Немига, 5  15:25;2.041;2.064;2.261;2.289;3.161;3.209
  БНБ-Банк Минск, пр-т Победителей, 65 ТЦ «Замок»  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БНБ-Банк Брест, ул. Маяковского, 17, корп.2  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БНБ-Банк Минск, пр-т Дзержинского, 104 ТЦ «Титан»  15:25;2.036;2.060;2.261;2.285;3.166;3.204
  БНБ-Банк Минск, ул. В. Хоружей, 25, корп. 3  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БНБ-Банк Минск, пр-т Независимости, 87а(площадь Калинина)  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БНБ-Банк Минск, ул. М.Танка, 1а  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БНБ-Банк Минск, пр-т Независимости, 37 (площадь Победы)  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БНБ-Банк Минск, пр-т Независимости, 168, корп.3  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БНБ-Банк Минск, ул. Притыцкого, 29  15:25;2.041;2.064;2.261;2.289;3.161;3.209
  БНБ-Банк Минск, ул. Корженевского, 26  15:25;2.040;2.110;2.230;2.300;3.050;3.300
"  БНБ-Банк Минск, 31 км МКАД (Минский р-н, Щомыслинский с.с.п / у Западный, ТЭЦ-4); ул. Монтажников, 2  15:25";2.041;2.060;2.261;2.287;3.166;3.199
  БНБ-Банк Минск, ул. Сурганова, 57Б  15:25;2.040;2.110;2.230;2.300;3.050;3.300
  БНБ-Банк Минск, пр-т Победителей, 9 (1-й этаж)  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БНБ-Банк Минск, ул. Налибокская, 36  15:25;2.040;2.110;2.230;2.300;3.050;3.300
  БНБ-Банк Минск, пр-т Победителей, 65 (ТЦ «Замок»)  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БНБ-Банк Минск, пр-т Дзержинского, 104 (ТЦ «Титан»)  15:25;2.036;2.060;2.261;2.285;3.166;3.204
  БНБ-Банк Минск ул. В. Хоружей 25/3, (Бизнес-центр «Терминал»)  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БНБ-Банк Минск, пр-т Независимости, 87а (площадь Калинина)  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БНБ-Банк Минск, пр-т Независимости, 37  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БНБ-Банк Минск, пр-т Независимости, 168/3  15:25;2.041;2.055;2.262;2.279;3.171;3.199
  БПС-Сбербанк г. Минск, пл. Привокзальная,3  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, Орловская ул., 88  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, пр. Машерова, 80  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, пр-т Независимости, 39  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, ул. Чкалова, 18/1  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, Маяковского ул., 154  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, ул. Сурганова,39  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, Логойский тракт, 37  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, ул. Уральская,1а  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, ул.Кальварийская, 4а  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, ул.Е.Полоцкой, 1  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, ул. Свердлова, 24  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, пр. Дзержинского, 119  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БПС-Сбербанк г. Минск, бульвар имени Мулявина,6  15:25;2.003;2.087;2.228;2.312;3.095;3.265
  БСБ Банк г. Минск, пр-т Победителей, 23, корп.4  15:26;2.045;2.058;2.258;2.286;3.160;3.226
  БСБ Банк г. Минск, поселок Лесной, 19а  15:26;2.030;2.065;2.244;2.296;3.136;3.240
"  БСБ Банк г. Минск, ул. П. Глебки, 5 (ТЦ ""Скала"")  15:25";2.032;2.076;2.230;2.288;3.135;3.225
  БСБ Банк г. Минск, пр-т Независимости, 154  15:26;2.040;2.060;2.260;2.284;3.150;3.204
  БСБ Банк г. Минск, пр-т Победителей, 65  15:26;2.040;2.055;2.258;2.285;3.150;3.210
  БСБ Банк г. Минск, ул. Каменогорская, д.3  15:26;2.030;2.065;2.244;2.296;3.136;3.240
  БСБ Банк г. Минск, ул. Шаранговича, 25  15:25;2.030;2.065;2.244;2.296;3.136;3.240
  БСБ Банк г. Минск, ул. Руссиянова, 7  15:26;2.030;2.065;2.244;2.296;3.136;3.240
"  БСБ Банк г. Минск, ул. В. Хоружей, 2 (ТЦ ""Импульс"")  15:26";2.040;2.066;2.251;2.301;3.130;3.230
  БСБ Банк г. Минск, ул. Космонавтов, 29  15:26;2.030;2.065;2.247;2.294;3.144;3.230
  БСБ Банк г. Минск, пл. Свободы, 23  15:26;2.042;2.056;2.260;2.285;3.150;3.200
  БСБ Банк г. Минск, Логойский тракт, 15, корп.4  15:26;2.042;2.058;2.258;2.286;3.160;3.225
  БСБ Банк г. Минск, пр-т. Дзержинского 80  15:26;2.042;2.055;2.260;2.282;3.152;3.198
  БСБ Банк г. Минск, ул. Шафарнянская 11  15:26;2.044;2.055;2.265;2.284;3.174;3.216
  БСБ Банк г. Минск, ул. Тимирязева 67  15:26;2.045;2.059;2.267;2.292;3.160;3.195
"  БСБ Банк г. Минск, пр-т газеты ""Звезда"", 47  15:26";2.042;2.056;2.262;2.284;3.150;3.205
  БСБ Банк г. Минск, Матусевича ул., 72  15:26;2.042;2.056;2.262;2.282;3.160;3.215
  БСБ Банк г. Минск, ул. Я.Купалы, 25  15:26;2.043;2.056;2.262;2.285;3.160;3.200
  БСБ Банк г. Минск, пр. Независимости, 155/1  15:26;2.035;2.065;2.250;2.295;3.110;3.240
  БСБ Банк г. Минск, Победителей пр. , 23/4 (на улице)  15:25;2.045;2.058;2.258;2.286;3.160;3.226
  БСБ Банк г. Минск, ул. Могилевская, 12  15:26;2.035;2.065;2.250;2.295;3.110;3.240
  БСБ Банк г. Минск, Филимонова ул., 13 к. 1  15:25;2.035;2.065;2.250;2.295;3.110;3.240
  БСБ Банк г. Минск, ул. Матусевича, 35 «На недельку»  15:26;2.035;2.065;2.250;2.295;3.110;3.240
  БСБ Банк г. Минск, ул. Мележа, 5 (КолбаСыр)  15:26;2.040;2.066;2.251;2.301;3.130;3.230
  БТА Банк г. Минск, ул. В. Хоружей, 20-2  08:53;2.043;2.056;2.270;2.285;3.165;3.200
  БТА Банк г.Минск ул. Острошицкая, 2  08:53;2.040;2.051;2.268;2.283;3.150;3.195
  БТА Банк г.Минск, ул. В. Хоружей, 20-2  08:53;2.043;2.056;2.270;2.285;3.165;3.200
  Идея Банк г. Минск, ул. Змитрока Бядули, д. 11  15:25;2.044;2.054;2.265;2.278;3.180;3.300
  Идея Банк г. Минск, ул. Кальварийская, 24, в ТЦ «Корона»  15:25;2.037;2.057;2.260;2.285;3.150;3.300
  Идея Банк г. Минск, пер. Логойского тр-та и МКАД, в ТРЦ «Expobel»  15:25;2.036;2.058;2.265;2.285;3.165;3.300
"  Идея Банк г. Минск, пр-т Победителей, 65, в ТЦ ""Замок""  15:26";2.042;2.054;2.262;2.285;3.155;3.300
  Идея Банк г. Минск, ул. Притыцкого, 101, в ТЦ «Материк»  15:25;2.037;2.057;2.260;2.285;3.150;3.300
  Идея Банк г. Минск, ул. В.Хоружей, 8, на Минском Комаровском рынке  15:25;2.036;2.058;2.265;2.285;3.165;3.300
  Идея Банк г. Минск, ул. Уманская, 54  15:26;2.036;2.058;2.265;2.285;3.165;3.300
  Идея Банк г. Минск, пр-т Рокоссовского, 80  15:25;2.044;2.060;2.265;2.282;3.165;3.300
  Идея Банк г. Минск, ул. В.Хоружей, 18 А  15:25;2.044;2.060;2.265;2.282;3.165;3.300
  Идея Банк г. Минск, ул. Кирова, 1  15:25;2.044;2.060;2.265;2.282;3.165;3.300
  Идея Банк г. Минск, пр-т Независимости, 168, корп.1  15:25;2.044;2.060;2.265;2.282;3.165;3.300
  Идея Банк г. Минск, ул. Притыцкого, 97  15:25;2.044;2.060;2.265;2.282;3.165;3.300
  Идея Банк г. Минск, пр-т Дзержинского, 119  15:25;2.044;2.060;2.265;2.282;3.165;3.300
  МТБанк г. Минск, ул.Толстого,10, 1 этаж  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, Привокзальная п-дь, 3 (здание ЖД вокзала, 2 уровень)  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, Есенина, 76  15:25;2.035;2.059;2.265;2.288;3.165;3.210
"  МТБанк г.Минск, ул. Уманская, 54 (гипермаркет ""Глобо"", средний уровень)  15:25";2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, пр. Победителей, 59  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, пр-т Независимости, 11 к.2  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, пр. Независимости, 56 (В зале для клиентов Казино «Casino Club XO»)  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, пер. Промышленный 12а  15:25;2.035;2.059;2.265;2.288;3.165;3.210
"  МТБанк г. Минск, ул. Бобруйская, 6 (ТЦ ""Galileo"", 3-й этаж)  15:25";2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, пр-т Машерова, д. 17/3 (В зале для клиентов Казино «Белая вежа»)  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, пр. Независимости 11/2  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, ул. Мясникова, д. 7 (В зале для клиентов Казино «Универсал»)  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, пр-т. Пушкина, д. 39 (В зале для клиентов Казино «У Адмирала»)  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, ул. Я. Коласа,1  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, пр. Партизанский, 6а, Головной банк, 1 эт  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, пр. Машерова, 54  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, Игуменский тракт, 16 Б  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, ул. Петра Мстиславца 11 (ТРЦ «DANA MALL»)  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, ул. Лобанка, 94  15:25;2.035;2.059;2.265;2.288;3.165;3.210
"  МТБанк г.Минск, Куприянова 1а (Бизнес-центре ""Алмаз"")  15:25";2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, пр-т Независимости, 202-3  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, ул. Кунцевщина, 2а  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, ул. Бурдейного, 6а  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, ул. Богдановича, 124  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, ул. Мележа,1  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, пр-т Партизанский, 150а  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, ул. Уманская, 54  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, переулок Тучинский, 2а (вход с ул. Кальварийской)  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, Партизанский пр-т., 6а, 1 этаж  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, пр-т Независимости 60  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, пр-т Независимости, 164  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, ул. Чкалова, 20  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, пересечение пр-та Партизанского и ул. Жилуновича  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, пр-т Рокоссовского, 80 (микрорайон «Серебрянка»)  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, ул. Притыцкого, 17А-3 (подземный переход ст.м. Пушкинская)  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, пр-т Дзержинского, 122  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, ул. Толстого, 10, БЦ «Titul»  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г. Минск, ул. Бурдейного, 6 (павильон №19)  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  МТБанк г.Минск, ул. Бобруйская, 15  15:25;2.035;2.059;2.265;2.288;3.165;3.210
  Паритетбанк г.Минск, ул. Киселева, д. 61а  15:25;2.045;2.055;2.262;2.282;3.165;3.195
"  Паритетбанк г. Минск, ул. Гамарника, 16, универсам ""Витебск""  15:25";2.038;2.058;2.255;2.285;3.130;3.200
"  Паритетбанк г. Минск, ул. Тимирязева, 125/1 (павильон ""Мир моды-3"")  15:25";2.038;2.058;2.255;2.285;3.130;3.200
  Паритетбанк г. Минск, ул. Тимирязева, 125/9 (ТД «Ждановичи», блок 4, павильон 8)  15:25;2.038;2.058;2.255;2.285;3.130;3.200
  Паритетбанк г. Минск, Игуменский тракт, 16 (магазин «Ваш выбор»)  15:25;2.038;2.058;2.255;2.285;3.130;3.200
  Паритетбанк г. Минск, пр-т Победителей, 19  15:25;2.038;2.058;2.255;2.285;3.150;3.200
  Паритетбанк г. Минск, пр-т Независимости, 77  15:25;2.045;2.055;2.262;2.282;3.165;3.195
"  Паритетбанк г. Минск, ул. Тимирязева, 114 (ТЦ ""АвтоГрад"")  15:25";2.038;2.058;2.255;2.285;3.130;3.200
"  Паритетбанк Минский р-н, п. Ждановичи, санаторий ""Пралеска""  15:25";2.038;2.058;2.255;2.285;3.130;3.200
"  Паритетбанк г. Минск, ул. Тимирязева, 123/2, ТРЦ ""Град""  15:25";2.038;2.058;2.255;2.285;3.130;3.200
  Паритетбанк г. Минск, пр-т Независимости, 23  15:25;2.038;2.058;2.255;2.285;3.130;3.200
