ОТДЕЛЕНИЕ;USD пок;USD прод;EUR пок;EUR прод;RUB пок;RUB прод
  Банк ВТБ (Беларусь) г. Минск, пр-т Независимости, 202  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, ул. Тимирязева 125/3  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, ул. Тимирязева, 129/2 (Продовольственный центр)  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г. Минск, ул. Тимирязева, 123/2 (переход ТЦ Град)  15:25;2.030;2.065;2.240;2.290;3.120;3.220
"  Банк ВТБ (Беларусь) г. Минск, пересечение Логойского тракта и МКАД, (ТРЦ""Экспобел"")  15:25";2.030;2.065;2.240;2.290;3.120;3.220
  Банк ВТБ (Беларусь) г.Минск, Партизанский пр-т 150А  15:25;2.030;2.065;2.240;2.290;3.120;3.220
  Банк Дабрабыт ул. Коммунистическая, 49, пом.1 (рядом с гостиницей «Беларусь»)  15:25;2.035;2.060;2.250;2.285;3.155;3.220
"  Банк Дабрабыт ул. Владислава Голубка, 2 (ТЦ ""Бонус"")  15:25";2.030;2.065;2.245;2.288;3.005;3.205
  Банк Дабрабыт Ул. Сурганова, 50 (ТЦ «РИГА»)  15:25;2.030;2.065;2.245;2.288;3.005;3.205
  Банк Дабрабыт Минский район, деревня Боровая, д.2 (Автоцентр «АТЛАНТ-М Боровая» FORD)  15:25;2.030;2.065;2.245;2.288;3.005;3.205
  Банк Дабрабыт ул. В. Хоружей, 6 Б (Торговый центр «Зеркало», 1-ый этаж, отдельный вход со стороны ТЦ «Импульс», рядом станция метро «Пл.Я.Коласа»)  15:25;2.035;2.060;2.250;2.285;3.155;3.220
  Банк Дабрабыт ул. Есенина, 30 (на пересечении с ул. Космонавтов)  15:25;2.035;2.060;2.250;2.285;3.155;3.220
  Банк Дабрабыт ул. Лобанка, 22 (ст. метро Каменная Горка)  15:25;2.035;2.060;2.250;2.285;3.155;3.220
  Банк Дабрабыт пр. Независимости, 72 (ст. метро «Академия наук», рядом с магазином «Академкнига»)  15:25;2.035;2.060;2.250;2.285;3.155;3.220
  Банк Дабрабыт пр. Независимости, 185 15:25;2.035;2.060;2.250;2.285;3.155;3.220
  Банк Дабрабыт пр. Рокоссовского, 80 15:25;2.035;2.060;2.250;2.285;3.155;3.220
  Банк Дабрабыт ул. М.Танка, 10А (рядом со станцией метро «Фрунзенская»)  15:25;2.035;2.060;2.250;2.285;3.155;3.220
"  Банк Дабрабыт Минская область, Смолевичский район, Китайско-Белорусский индустриальный парк ""Великий камень"", пр. Пекинский, 18 (Здание администрации)  15:25";2.025;2.068;2.245;2.290;3.000;3.205
  Банк Дабрабыт ул. Лучины, 38 (микрорайон «Лошица»)  15:25;2.035;2.060;2.250;2.285;3.155;3.220
  Банк Дабрабыт ул. Долгобродская, 6/1 15:25;2.035;2.060;2.250;2.285;3.155;3.220
  Банк Дабрабыт пр. Партизанский, 46 15:25;2.035;2.060;2.250;2.285;3.155;3.220
  Банк Решение г. Минск, ул. Сторожовская,8  15:25;2.042;2.060;2.250;2.289;3.125;3.187
  Банк Решение г. Минск, ул. Игнатенко, 11  15:25;2.042;2.060;2.250;2.289;3.125;3.187
  Банк Решение г.Минск, ул. Игнатенко, 11  15:25;2.042;2.060;2.250;2.289;3.125;3.187
"  Белагропромбанк г. Минск, пр-т. Победителей, 84 ТРЦ ""Арена-Сити""  15:25";2.023;2.063;2.245;2.295;3.060;3.210
  Белагропромбанк пр-т. Победителей,91  15:25;2.038;2.055;2.258;2.282;3.160;3.205
  Белагропромбанк ул. Сторожевская, 6  15:25;2.023;2.063;2.245;2.295;3.060;3.210
  Белагропромбанк г. Минск, ул. Романовская Слобода, 8  15:25;2.038;2.058;2.258;2.283;3.160;3.210
"  Белагропромбанк Минский р-н, ЗАО ВЦ ""Аквабел"" (пересечение Логойского тракта и МКАД)  15:25";2.020;2.064;2.240;2.293;3.130;3.240
  Белагропромбанк г. Минск, ул. Ольшевского, 24  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, проезд Ташкентский, 5а  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, ул. Уборевича, 176  15:25;2.020;2.064;2.240;2.293;3.130;3.240
  Белагропромбанк г. Минск, ул. Наполеона Орды, 6  15:25;2.020;2.064;2.240;2.293;3.130;3.240
  Белагропромбанк г. Минск, ул. П.Глебки, 5  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, ул. Ванеева, 38  15:25;2.020;2.064;2.240;2.293;3.130;3.240
  Белагропромбанк г. Минск, ул. Я.Мавра, 22  15:25;2.030;2.063;2.250;2.292;3.140;3.240
  Белагропромбанк г. Минск, ул. К.Маркса, 15  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, пр. Победителей, 49  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, ул. Комсомольская, 16  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, ул. Р.Люксембург, 80  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, ул. Шаранговича, 4  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк ул. Каменногорская,118  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, пр. Машерова, 19  15:25;2.033;2.062;2.255;2.290;3.150;3.230
"  Белагропромбанк Минский р-н, административное здание ВЦ ""Аквабел"" (пересечение Логойского тракта и МКАД)  15:25";2.033;2.062;2.255;2.290;3.150;3.230
"  Белагропромбанк Минский р-н, ТРЦ ""Экспобел"" (пересечение Логойского тракта и МКАД)  15:25";2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, Логойский тракт, 22а  15:25;2.030;2.063;2.250;2.292;3.140;3.240
  Белагропромбанк г. Минск, ул. Маяковского, 154  15:25;2.033;2.062;2.255;2.290;3.150;3.230
"  Белагропромбанк г. Минск, пер. 2-й Велосипедный, 30 (150 метров от гипермаркета ""ГИППО"" на проспекте Рокоссовского)  15:25";2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, пр-т Партизанский, 52  15:25;2.030;2.063;2.250;2.292;3.140;3.240
  Белагропромбанк г. Минск, Игуменский тракт, 16  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, ул. Чернышевского, 10а  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, б-р Шевченко, 11  15:25;2.030;2.063;2.250;2.292;3.140;3.240
  Белагропромбанк г. Минск, ул. Куйбышева, 75  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, ул. М.Богдановича, 78  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, ул. Казинца, 46а  15:25;2.033;2.062;2.255;2.290;3.150;3.230
  Белагропромбанк г. Минск, ул. Рафиева, 88а  15:25;2.030;2.063;2.250;2.292;3.140;3.240
